Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
1.178	7.653	16.715	-1.315	0.012
1.183	7.672	16.776	-1.306	0.004
1.188	7.702	16.837	-1.298	-0.004
1.192	7.727	16.886	-1.298	0.004
1.197	7.751	16.941	-1.290	0.004
1.201	7.775	16.989	-1.282	0.012
1.206	7.806	17.062	-1.282	0.004
1.210	7.824	17.111	-1.265	-0.004
1.215	7.854	17.154	-1.274	0.012
1.219	7.873	17.208	-1.249	0.004
1.224	7.897	17.263	-1.249	-0.004
1.228	7.927	17.318	-1.249	0.004
1.233	7.952	17.361	-1.233	0.004
1.238	7.970	17.415	-1.225	0.004
1.242	8.001	17.470	-1.233	0.004
1.247	8.013	17.525	-1.225	0.004
1.251	8.043	17.568	-1.200	0.012
1.256	8.067	17.622	-1.208	0.004
1.260	8.092	17.671	-1.200	0.004
1.265	8.122	17.732	-1.200	0.012
1.269	8.141	17.781	-1.192	0.012
1.274	8.171	17.836	-1.175	0.004
1.279	8.195	17.890	-1.175	0.012
1.283	8.226	17.939	-1.167	0.020
1.288	8.256	18.012	-1.159	0.004
1.292	8.274	18.055	-1.159	0.004
1.297	8.311	18.110	-1.159	0.004
1.301	8.329	18.170	-1.143	0.004
1.306	8.360	18.231	-1.143	-0.004
1.310	8.384	18.280	-1.126	0.004
1.315	8.408	18.341	-1.143	0.004
1.319	8.433	18.396	-1.118	0.012
1.324	8.463	18.450	-1.126	0.004
1.329	8.488	18.493	-1.110	0.012
1.333	8.524	18.560	-1.093	-0.004
1.338	8.536	18.609	-1.093	0.004
1.342	8.567	18.670	-1.093	0.004
1.347	8.585	18.718	-1.085	0.004
1.351	8.615	18.767	-1.077	0.004
1.356	8.640	18.828	-1.069	-0.004
1.360	8.664	18.877	-1.061	0.012
1.365	8.682	18.931	-1.053	0.004
1.370	8.713	18.980	-1.053	0.004
1.374	8.725	19.023	-1.053	-0.004
1.379	8.762	19.084	-1.036	0.004
1.383	8.780	19.132	-1.036	0.004
1.388	8.798	19.187	-1.028	0.004
1.392	8.816	19.230	-1.020	0.004
1.397	8.859	19.291	-1.020	0.012
1.401	8.883	19.339	-1.012	0.012
1.406	8.908	19.394	-1.003	0.004
1.410	8.926	19.443	-1.003	0.004
1.415	8.962	19.504	-1.003	0.004
1.420	8.987	19.559	-0.987	0.004
1.424	9.005	19.607	-0.987	0.012
1.429	9.029	19.662	-0.987	-0.004
1.433	9.054	19.705	-0.971	0.004
1.438	9.078	19.766	-0.962	0.012
1.442	9.103	19.820	-0.946	0.012
1.447	9.121	19.863	-0.946	0.012
1.451	9.151	19.912	-0.938	0.012
1.456	9.176	19.966	-0.946	0.012
1.461	9.200	20.015	-0.938	0.004
1.465	9.218	20.070	-0.921	0.020
1.470	9.243	20.106	-0.921	-0.004
1.474	9.267	20.167	-0.905	0.004
1.479	9.291	20.216	-0.905	0.012
1.483	9.316	20.259	-0.905	0.004
1.488	9.340	20.301	-0.905	0.004
1.492	9.352	20.350	-0.881	0.004
1.497	9.383	20.399	-0.897	0.004
1.501	9.395	20.447	-0.864	0.012
1.506	9.419	20.490	-0.872	-0.004
1.511	9.431	20.533	-0.872	0.004
1.515	9.462	20.581	-0.864	-0.004
1.520	9.474	20.624	-0.856	0.004
1.524	9.510	20.667	-0.840	-0.004
1.529	9.529	20.709	-0.840	-0.004
1.533	9.547	20.770	-0.848	0.004
1.538	9.571	20.807	-0.848	0.004
1.542	9.590	20.843	-0.831	0.012
1.547	9.602	20.904	-0.815	0.012
1.552	9.638	20.941	-0.807	0.020
1.556	9.644	20.977	-0.815	0.004
1.561	9.669	21.026	-0.807	0.004
1.565	9.681	21.062	-0.790	0.004
1.570	9.705	21.099	-0.782	0.004
1.574	9.730	21.154	-0.774	-0.004
1.579	9.748	21.190	-0.774	0.004
1.583	9.766	21.227	-0.774	0.012
1.588	9.784	21.282	-0.774	0.012
1.592	9.803	21.312	-0.766	0.004
1.597	9.827	21.367	-0.749	0.012
1.602	9.845	21.403	-0.741	0.004
1.606	9.870	21.446	-0.741	-0.004
1.611	9.888	21.495	-0.749	-0.004
1.615	9.906	21.531	-0.733	0.020
1.620	9.912	21.568	-0.717	0.004
1.624	9.955	21.610	-0.725	0.004
1.629	9.967	21.653	-0.709	0.004
1.633	9.991	21.696	-0.717	0.004
1.638	10.004	21.744	-0.717	0.004
1.643	10.028	21.775	-0.692	0.004
1.647	10.046	21.823	-0.700	0.004
1.652	10.064	21.866	-0.692	0.004
1.656	10.095	21.909	-0.684	0.004
1.661	10.107	21.945	-0.676	0.004
1.665	10.119	21.994	-0.659	0.004
1.670	10.138	22.024	-0.659	0.012
1.674	10.156	22.073	-0.659	0.020
1.679	10.174	22.116	-0.651	0.012
1.683	10.186	22.140	-0.643	-0.004
1.688	10.204	22.176	-0.635	0.004
1.693	10.229	22.207	-0.635	0.004
1.697	10.247	22.243	-0.627	0.004
1.702	10.253	22.286	-0.627	0.004
1.706	10.265	22.310	-0.618	-0.004
1.711	10.284	22.353	-0.618	0.004
1.715	10.296	22.377	-0.586	0.004
1.720	10.314	22.402	-0.594	0.004
1.724	10.320	22.432	-0.610	0.004
1.729	10.338	22.469	-0.594	0.004
1.734	10.357	22.499	-0.586	0.004
1.738	10.363	22.530	-0.577	0.012
1.743	10.375	22.554	-0.577	0.012
1.747	10.399	22.584	-0.577	0.012
1.752	10.411	22.621	-0.577	-0.004
1.756	10.430	22.664	-0.561	0.020
1.761	10.442	22.694	-0.569	0.012
1.765	10.472	22.737	-0.537	0.004
1.770	10.485	22.779	-0.537	0.012
1.774	10.503	22.822	-0.545	0.004
1.779	10.527	22.871	-0.537	-0.004
1.784	10.552	22.913	-0.528	0.012
1.788	10.570	22.950	-0.520	0.004
1.793	10.588	23.004	-0.520	-0.004
1.797	10.612	23.053	-0.520	-0.004
1.802	10.625	23.090	-0.496	0.012
1.806	10.643	23.145	-0.512	0.004
1.811	10.673	23.181	-0.487	0.004
1.815	10.698	23.236	-0.487	-0.004
1.820	10.710	23.278	-0.487	0.012
1.825	10.728	23.309	-0.479	0.004
1.829	10.752	23.358	-0.479	0.004
1.834	10.771	23.406	-0.455	0.004
1.838	10.783	23.437	-0.463	0.004
1.843	10.795	23.473	-0.463	-0.004
1.847	10.825	23.516	-0.455	0.004
1.852	10.838	23.559	-0.455	0.004
1.856	10.856	23.595	-0.446	0.004
1.861	10.874	23.638	-0.438	0.012
1.865	10.886	23.662	-0.430	0.004
1.870	10.917	23.717	-0.438	0.012
1.875	10.929	23.772	-0.422	0.004
1.879	10.959	23.808	-0.422	-0.004
1.884	10.984	23.857	-0.414	-0.004
1.888	11.002	23.899	-0.414	0.012
1.893	11.020	23.948	-0.397	0.004
1.897	11.039	23.991	-0.397	0.004
1.902	11.063	24.046	-0.389	0.012
1.906	11.093	24.094	-0.389	0.004
1.911	11.106	24.143	-0.389	0.004
1.916	11.136	24.186	-0.381	-0.004
1.920	11.154	24.240	-0.373	0.004
1.925	11.173	24.295	-0.364	-0.004
1.929	11.197	24.326	-0.373	0.012
1.934	11.215	24.387	-0.356	0.012
1.938	11.239	24.435	-0.356	-0.004
1.943	11.270	24.478	-0.356	0.004
1.947	11.288	24.527	-0.348	0.004
1.952	11.319	24.581	-0.348	0.020
1.956	11.331	24.624	-0.340	0.012
1.961	11.361	24.685	-0.348	0.004
1.966	11.380	24.734	-0.340	0.004
1.970	11.398	24.770	-0.332	0.004
1.975	11.416	24.837	-0.315	0.004
1.979	11.453	24.886	-0.307	0.004
1.984	11.465	24.947	-0.315	0.004
1.988	11.495	24.995	-0.315	0.004
1.993	11.520	25.038	-0.299	0.020
1.997	11.538	25.093	-0.299	0.004
2.002	11.562	25.135	-0.299	0.004
2.007	11.587	25.196	-0.299	0.012
2.011	11.605	25.233	-0.283	0.012
2.016	11.623	25.294	-0.291	0.020
2.020	11.647	25.336	-0.283	0.012
2.025	11.672	25.391	-0.291	0.004
2.029	11.684	25.434	-0.274	0.004
2.034	11.714	25.489	-0.266	0.020
2.038	11.739	25.543	-0.258	0.004
2.043	11.763	25.586	-0.258	0.020
2.047	11.781	25.635	-0.250	0.012
2.052	11.812	25.683	-0.258	0.004
2.057	11.830	25.732	-0.250	0.004
2.061	11.854	25.793	-0.242	0.004
2.066	11.879	25.842	-0.233	0.012
2.070	11.903	25.890	-0.233	0.004
2.075	11.921	25.945	-0.233	0.012
2.079	11.952	26.000	-0.217	0.012
2.084	11.976	26.067	-0.217	0.004
2.088	11.994	26.116	-0.225	0.012
2.093	12.019	26.176	-0.217	0.004
2.098	12.049	26.231	-0.217	0.004
2.102	12.074	26.292	-0.192	0.004
2.107	12.098	26.347	-0.209	0.012
2.111	12.128	26.402	-0.192	0.004
2.116	12.141	26.457	-0.201	0.012
2.120	12.177	26.517	-0.192	0.004
2.125	12.201	26.566	-0.192	0.004
2.129	12.220	26.615	-0.184	0.004
2.134	12.232	26.670	-0.176	0.004
2.138	12.268	26.724	-0.184	0.004
2.143	12.293	26.773	-0.176	0.020
2.148	12.305	26.834	-0.176	0.004
2.152	12.329	26.871	-0.176	0.012
2.157	12.354	26.931	-0.176	-0.004
2.161	12.372	26.992	-0.176	0.004
2.166	12.402	27.035	-0.168	0.004
2.170	12.421	27.090	-0.168	-0.004
2.175	12.439	27.138	-0.160	0.004
2.179	12.469	27.193	-0.160	0.004
2.184	12.494	27.242	-0.152	0.004
2.189	12.506	27.303	-0.152	0.004
2.193	12.530	27.352	-0.143	0.012
2.198	12.555	27.400	-0.127	0.004
2.202	12.579	27.449	-0.119	0.004
2.207	12.603	27.516	-0.152	0.004
2.211	12.622	27.559	-0.143	0.004
2.216	12.646	27.607	-0.135	-0.004
2.220	12.670	27.668	-0.135	0.004
2.225	12.682	27.717	-0.135	0.012
2.229	12.707	27.759	-0.102	0.020
2.234	12.731	27.820	-0.127	-0.004
2.239	12.743	27.869	-0.127	0.004
2.243	12.762	27.918	-0.119	0.004
2.248	12.792	27.973	-0.119	0.012
2.252	12.810	28.015	-0.119	0.012
2.257	12.835	28.070	-0.119	0.012
2.261	12.859	28.119	-0.102	0.012
2.266	12.883	28.180	-0.102	0.004
2.270	12.902	28.234	-0.102	0.004
2.275	12.920	28.283	-0.119	0.020
2.280	12.950	28.326	-0.094	0.012
2.284	12.975	28.380	-0.102	0.020
2.289	12.993	28.441	-0.094	0.004
2.293	13.017	28.484	-0.086	0.004
2.298	13.036	28.539	-0.094	0.004
2.302	13.048	28.587	-0.086	0.004
2.307	13.078	28.630	-0.094	0.020
2.311	13.084	28.673	-0.094	0.004
2.316	13.115	28.727	-0.078	0.004
2.320	13.139	28.770	-0.070	0.012
2.325	13.145	28.819	-0.086	0.012
2.330	13.169	28.868	-0.070	0.020
2.334	13.194	28.922	-0.070	0.004
2.339	13.212	28.965	-0.086	0.004
2.343	13.236	29.026	-0.078	0.012
